Candidato;Partido;Coligação;Situação;Votação;Receita_total
MANOEL CARDOSO DE AGUIAR FILHO;PDT;PDT;Não eleito;0;0
MANOEL DA CRUZ CARLOS VIEIRA;PMDB;PMDB / PROS / PP / PSD;Suplente;669;17894,09
MANOEL DOS SANTOS SILVA IRMÃO;PEN;PEN;Não eleito;2195;4649,5
MANOEL EMÍDIO DE SANTANA;PMDB;PMDB / PROS / PP / PSD;Suplente;362;16660,71
MANOEL FREIRE DE MOURA;PTB;PTB;Suplente;546;0
MANOEL SILVA DE OLIVEIRA;PSC;PSC;Não eleito;0;3646,8399999999
MARA CRISTINA GABRILLI;PSDB;PSDB / DEM / PPS;Eleito por QP;155143;1641325,23
MARCEL MACHADO MUSCAT;PRP;PHS / PRP;Não eleito;612;1496,2
MARCELO BATISTA;PV;PV;Suplente;259;3169,8
MARCELO CANDIDO LOPES SIMÕES;PHS;PHS / PRP;Não eleito;1427;1048
MARCELO DA SILVA ALVES;PSOL;PSOL / PSTU;Suplente;741;3266,75
MARCELO DE MEDEIROS CARDOSO LEITE;PMDB;PMDB / PROS / PP / PSD;Suplente;1022;15589,27
MARCELO GIANNELLI LOBATO;PRB;PRB;Suplente;725;0
MARCELO JOSÉ ORTEGA;PV;PV;Suplente;13836;30464
MARCELO JOSE SAMPAIO;PSOL;PSOL / PSTU;Suplente;716;3500
MARCELO LIMA COSTA;PTB;PTB;Suplente;2118;3050
MARCELO MASCARENHAS MIRANDA;PSC;PSC;Suplente;275;5226,84
MARCELO RICARDO MARIANO;PP;PMDB / PROS / PP / PSD;Suplente;3050;23570,459999999
MARCELO ROCCO;PROS;PMDB / PROS / PP / PSD;Suplente;928;33714,04
MARCELO ROCHA;PV;PV;Suplente;1515;20514,999999999
MARCELO SOARES DE ALMEIDA;PV;PV;Não eleito;0;0
MARCELO SQUASSONI;PRB;PRB;Eleito por QP;30315;245873,09999999
MARCELO THEODORO DE AGUIAR;DEM;PSDB / DEM / PPS;Suplente;65970;800083,32999999
MÁRCIA APARECIDA ZUCCHI LIBANORE;PV;PV;Suplente;2277;3114
MARCIA DA ROCHA PIRES;PRP;PHS / PRP;Não eleito;55;0
MARCIA MARIA FERRAZ DA COSTA;PHS;PHS / PRP;Não eleito;603;2638
MARCIA MARINHO DA SILVA;PT;PT / PC do B;Suplente;997;57798,999999999
MARCIA PUPIM GONÇALVES PEDRO;PV;PV;Suplente;184;0
MARCIA REGINA ALVES CARNEIRO;PMDB;PMDB / PROS / PP / PSD;Suplente;1115;57798,999999999
MARCIA VIEIRA;PSOL;PSOL / PSTU;Suplente;86;1,7
MARCILIO DUARTE LIMA;SD;SD;Suplente;3907;626839,55
MARCIO APARECIDO PEREIRA;PSB;PSB;Suplente;594;6911,09
MARCIO BORGES DA SILVA;SD;SD;Suplente;951;129185,2
MARCIO DA COSTA LIMA;PRB;PRB;Suplente;506;5978
MARCIO LUIZ ALVINO DE SOUZA;PR;PR;Eleito por QP;179950;1846372,47
MARCIO MARTINS PEREIRA;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;1005;1875,5
MARCIO MASSAMI NAKASHIMA;PMDB;PMDB / PROS / PP / PSD;Suplente;46857;28152,61
MARCIO PASCHOAL GIUDICIO;PV;PV;Suplente;40979;341548,06999999
MARCIO TOMAZELA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;3109;45716,5
MARCO ANTONIO ABOU HALA DE PAIVA AYRES;PTB;PTB;Suplente;2571;34751,82
MARCO ANTONIO CAMPOS;PMDB;PMDB / PROS / PP / PSD;Suplente;1062;19673,42
MARCO ANTONIO FELICIANO;PSC;PSC;Eleito por QP;398087;144222,35
MARCO ANTONIO FERREIRA PELLEGRINI;PSB;PSB;Suplente;5912;8279,34
MARCO ANTONIO NOTARI;PDT;PDT;Não eleito;0;12044,9
MARCO ANTONIO PINTO SOARES JUNIOR;PT;PT / PC do B;Suplente;8006;68875,629999999
MARCO AURELIO UBIALI;PSB;PSB;Suplente;77963;580934,83999999
MARCO RONEI SOARES DE OLIVEIRA;PTB;PTB;Suplente;629;4838
MARCOS ANDRÉ SILVA;PHS;PHS / PRP;Não eleito;1115;1562
MARCOS ANTONIO DAS NEVES;PSDC;PSDC;Não eleito;1221;1723
MARCOS ANTONIO DE ALMEIDA RIBEIRO;PSDB;PSDB / DEM / PPS;Suplente;5249;76045
MARCOS AURELIO FRANCO DO NASCIMENTO;PDT;PDT;Suplente;120;3733,89
MARCOS CARDOSO TALARICO;PSB;PSB;Suplente;1507;18359,459999999
MARCOS CESAR PONTES;PSB;PSB;Suplente;43707;72013,149999999
MARCOS DANIEL VICENTE;PP;PMDB / PROS / PP / PSD;Suplente;16672;131850
MARCOS DE OLIVEIRA SAMPAIO;PEN;PEN;Não eleito;224;2341,48
MARCOS DE SOUZA CHAVES;PRTB;PRTB;Não eleito;421;1433,75
MARCOS EDMILSON EVANGELISTA;PSDC;PSDC;Não eleito;752;3139,5
MARCOS FERREIRA GODOY;PSD;PMDB / PROS / PP / PSD;Suplente;35018;232298,89
MARCOS FLAVIO DE OLIVEIRA ROBERTO;PSDB;PSDB / DEM / PPS;Suplente;1517;0
MARCOS FRANCISCO DE MORAES;PRP;PHS / PRP;Não eleito;610;122,5
MARCOS PAULO DA SILVA;PRB;PRB;Suplente;1510;4728
MARCOS RAUL DE ALMEIDA SOUZA;PSOL;PSOL / PSTU;Suplente;453;4088
MARCOS ROBERTO FLORÊNCIO;PTB;PTB;Suplente;1247;12021
MARCOS ROBERTO PIMENTA;PHS;PHS / PRP;Não eleito;1085;9850
MARCOS ROGÉRIO DE CAMPOS CAMARGO;PRB;PRB;Suplente;11407;391324,48
MARCOS SOUZA LIMA;PEN;PEN;Não eleito;1055;4250
MARCOS VINHA;PT;PT / PC do B;Suplente;17008;160884
MARGARETE ANTUNES DOS SANTOS;PDT;PDT;Suplente;121;527,5
MARGARETH GALVÃO CARBINATO;PP;PMDB / PROS / PP / PSD;Suplente;458;6190,85
MARIA ALICE PELIÇARIO;PV;PV;Suplente;1307;25264
MARIA APARECIDA BATISTA;PSTU;PSOL / PSTU;Suplente;48;465,88
MARIA APARECIDA BATISTA LEITE;PTB;PTB;Suplente;183;6576,2999999999
MARIA APARECIDA CIDRÃO;DEM;PSDB / DEM / PPS;Suplente;444;9419,4599999999
MARIA APARECIDA DE JESUS;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;160;707,5
MARIA APARECIDA DE SOUSA BARROS;PDT;PDT;Não eleito;0;981,6
MARIA APARECIDA FERREIRA;PMDB;PMDB / PROS / PP / PSD;Suplente;6304;123989,87
MARIA APARECIDA NATALI PRADO;PSC;PSC;Suplente;63;1578,0899999999
MARIA APARECIDA PINTO SANCHEZ;PTB;PTB;Suplente;195;9815,61
MARIA AUGUSTA FERREIRA FONSECA;PMDB;PMDB / PROS / PP / PSD;Não eleito;0;0
MARIA CANDIDA MACEDO DE BARROS;PHS;PHS / PRP;Não eleito;769;1357,9999999999
MARIA CECILIA BEZERRA DA SILVA;PHS;PHS / PRP;Não eleito;870;1765,5
MARIA CORDELIZA DOS SANTOS;PHS;PHS / PRP;Não eleito;692;2514
MARIA DA GLÓRIA MATOS GUILHAMATE;PHS;PHS / PRP;Não eleito;133;455
MARIA DA GRAÇA PAULO FIGUEIREDO;PTB;PTB;Suplente;300;1677,8
MARIA DAS GRAÇAS DINIZ;PSC;PSC;Suplente;47;2578,1999999999
MARIA DE LOURDES BARBOSA LOPES;PSB;PSB;Suplente;2398;6890
MARIA DE LOURDES RAFAEL;PT;PT / PC do B;Suplente;1352;6000
MARIA DO CARMO ROCHA MENDOZA;PTB;PTB;Suplente;594;6576
MARIA DOLORES GIMENEZ ARIETA;PEN;PEN;Não eleito;470;2232,26
MARIA FRANCISCA DA SILVA NEVES;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;50;550
MARIA GEORGINA DA SILVA ARIETTI;PHS;PHS / PRP;Não eleito;92;550
MARIA GILCIMAR DE SOUZA;PDT;PDT;Suplente;273;593
MARIA GILDEA SOARES TEIXEIRA DOURADO;PDT;PDT;Suplente;380;0
MARIA GONÇALVES DE LIMA;PDT;PDT;Suplente;261;9916,89
MARIA GORETE DA SILVA AQUINO;PSDC;PSDC;Não eleito;389;1115
MARIA HELENA DE ALMEIDA;PDT;PDT;Suplente;345;9916,89
MARIA JOSÉ ALMEIDA DA SILVA;SD;SD;Suplente;121;4027,1499999999
MARIA JOSÉ CÂNDIDO DOS SANTOS RAIMUNDO;PTB;PTB;Suplente;1066;7986
MARIA JOSE DA SILVA BEZERRA;PSOL;PSOL / PSTU;Suplente;351;1225
MARIA JOSE FUENTES;PTB;PTB;Suplente;589;2782,65
MARIA JOSETANIA DE OLIVEIRA TEIXEIRA;PRP;PHS / PRP;Não eleito;539;312,5
MARIA LUCIA FERNANDES;PEN;PEN;Não eleito;173;1010
MARIA LUCIA PRANDI GOMES;PT;PT / PC do B;Suplente;26362;325814,97999999
MARIA MARGARETE SANTANA DA SILVA;PRB;PRB;Suplente;495;11930,74
MARIA MODESTINO ALVES;PT;PT / PC do B;Suplente;4820;60184,75
MARIA TERESINHA DE JESUS PEDROZA;PTB;PTB;Suplente;21091;70286,33
MARIA VANUSIA LIMA DOS REIS;PSOL;PSOL / PSTU;Suplente;585;748,75
MARIA ZULEU BEZERRA DA SILVA;SD;SD;Suplente;888;15852,91
MARIANA CONTI TAKAHASHI;PSOL;PSOL / PSTU;Suplente;16914;47142,889999999
MARINA MEDEIROS QUEIROZ DE MORAES;PV;PV;Não eleito;0;0
MARINA PEREIRA DA CRUZ;PV;PV;Suplente;94;6000
MARINA SILVA SANCHES;PV;PV;Suplente;370;0
MARINALVA DE SOUZA;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;176;5960,27
MARINES BATISTA MAGRI CAMPOS;PMDB;PMDB / PROS / PP / PSD;Suplente;2742;19466,7
MÁRIO LUIZ GUIDI;PSB;PSB;Suplente;11354;126089,5
MARIO PINHEIRO FERNANDES;PHS;PHS / PRP;Não eleito;508;1095,5
MARIO REGIO;PSB;PSB;Suplente;450;8150,09
MÁRIO WILSON PEDREIRA REALI;PT;PT / PC do B;Suplente;52112;2410825,73
MARISA BAGANHA AZEVEDO E SÁ;PSB;PSB;Não eleito;0;7559,46
MARISA RITA RIELLO DEPPMAN;PSDB;PSDB / DEM / PPS;Suplente;19426;3190
MARIVAL DE JESUS BRUNO;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;804;6225,5
MARIVALDO RODRIGUES DE SOUZA;PHS;PHS / PRP;Não eleito;49;0
MARLENE SANTANA MIRA;PRB;PRB;Suplente;584;3178
MARLI JOSE DA SILVA BARBOSA;PPL;PPL;Não eleito;973;5200
MARLON MEIRA DOS SANTOS;PRTB;PRTB;Não eleito;735;7305,93
MATEUS EDUARDO PERISSINOTTO;PSC;PSC;Suplente;332;0
MATUSAEL DO NASCIMENTO;PSC;PSC;Suplente;19912;13095,47
MAURA APARECIDA DE PAULA;PT;PT / PC do B;Suplente;2090;45424
MAURICIO BARONI BERNARDINETTI;PMDB;PMDB / PROS / PP / PSD;Suplente;21694;100390,74999999
MAURICIO DA SILVA DE MORAES JUNIOR;PT;PT / PC do B;Suplente;5995;52502,489999999
MAURICIO DANIEL DE SOUZA;PRTB;PRTB;Não eleito;595;402,91
MAURICIO DE OLIVEIRA CARNEIRO;PMDB;PMDB / PROS / PP / PSD;Suplente;10946;126408,40999999
MAURICIO PEREIRA DOS SANTOS;PHS;PHS / PRP;Não eleito;3262;24351
MAURINO DE SOUZA AMERICO;PRP;PHS / PRP;Não eleito;394;312,5
MAURO BERNARDO PERFETTO;PR;PR;Suplente;460;5462,8
MAYARA GONÇALVES DA SILVA THOMAZINI;PRTB;PRTB;Não eleito;21;300,92
MAYRA ROSANNA GAMA DE ARAÚJO SILVA DA COSTA;PPS;PSDB / DEM / PPS;Suplente;13958;65913,459999999
MEIRE MORAES CAMARGO DIAS;PSDC;PSDC;Não eleito;84;666,1
MELQUIZEDEQUE LOPES DE SOUZA BARROS;PSC;PSC;Suplente;541;11326,84
MERCEDES BATISTA GENEBRA;PEN;PEN;Não eleito;150;54
MESSIAS JOAQUIM DA SILVA;PSDC;PSDC;Não eleito;228;0
MICHELE APARECIDA CAMARGO DO NASCIMENTO;PSC;PSC;Suplente;512;2000
MIGUEL LOMBARDI;PR;PR;Eleito por médi;32080;195145,51
MIGUEL MANSO PEREZ;PPL;PPL;Não eleito;14960;1335075,8999999
MIGUEL MOUBADDA HADDAD;PSDB;PSDB / DEM / PPS;Eleito por QP;168278;700492,45999999
MILTON ANTONIO CASQUEL MONTI;PR;PR;Eleito por QP;115942;2973591,4399999
MILTON JOSÉ APOLINÁRIO;PSB;PSB;Suplente;1509;0
MILTON SOARES MUCHIUTTE;PV;PV;Suplente;3868;54624
MIRANICE DOS SANTOS BARRETO;PV;PV;Suplente;195;284
MIRIAM DUQUE DE ALMEIDA;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;2881;17785,25
MIZAEL ROTTA DE ALMEIDA;PEN;PEN;Não eleito;1111;4932,4
MOACYR ALVES DE SOUZA;PSDC;PSDC;Não eleito;1038;3000
MOISES BARROS DE OLIVEIRA;PRTB;PRTB;Não eleito;691;1320,73
MOISES FUENTES FERNANDES;PRTB;PRTB;Não eleito;71;300,93
MÔNICA FERRE;PRTB;PRTB;Não eleito;240;400,92
MOYSÉS GOMES ARÔXA;PMDB;PMDB / PROS / PP / PSD;Suplente;325;20825,34
MYRIAN APARECIDA BOSCO MASSAROLLO;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;331;1354
NADIA RUBIO BACCHI;PRB;PRB;Suplente;2276;3627
NAILTON GOMES DA SILVA;PV;PV;Suplente;2232;715
NALIENE MOURA DA SILVA;PDT;PDT;Suplente;856;9916,89
NARA SANTANA DE OLIVEIRA;PRP;PHS / PRP;Não eleito;569;7984,9499999999
NARCIZO MINETTO JUNIOR;PV;PV;Suplente;10643;64804,07
NATÁLIA BRAGA COSTA PIMENTA;PCO;PCO;Não eleito;709;967,41999999999
NATALINO ANTONIO DA SILVA;PSDC;PSDC;Não eleito;2261;2520,3
NATHALIE POSSETTI SARPE;PV;PV;Suplente;2044;73622,699999999
NEIDE APARECIDA LEITE;PSD;PMDB / PROS / PP / PSD;Suplente;120;89365,099999999
NEIDE APARECIDA TAMEIRÃO COSER;PT;PT / PC do B;Suplente;780;2765,5
NELSON FERREIRA FILHO;PHS;PHS / PRP;Não eleito;2781;112679
NELSON GONÇALVES PINTO;PR;PR;Suplente;5489;112679
NELSON MARCELINO DA SILVA;PMDB;PMDB / PROS / PP / PSD;Suplente;632;17802,599999999
NELSON MARQUEZELLI;PTB;PTB;Eleito por QP;112711;2563009,7299999
NELSON ROBERTO BUGALHO;PV;PV;Suplente;49910;871523,3
NEURI LUCIA DA SILVA;SD;SD;Suplente;403;20850,649999999
NEUSA ANNANIAS DE MOURA;PHS;PHS / PRP;Não eleito;48;455
NEUSA DOS ANJOS RUOTOLO;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;45;1967
NEUZA DAS GRAÇAS SOARES DA SILVA;PTB;PTB;Suplente;671;0
NEUZA RODRIGUES MENDES;PSOL;PSOL / PSTU;Suplente;321;450
NEWTON LIMA NETO;PT;PT / PC do B;Suplente;74598;3672564,7199999
NEWTON LUIZ FERREIRA;PSDB;PSDB / DEM / PPS;Suplente;2702;72790
NEWTON RIBEIRO DINAMARCO;PRTB;PRTB;Não eleito;703;1002,85
NILTO IGNÁCIO TATTO;PT;PT / PC do B;Eleito por QP;101196;1844860,61
NILTON VENANCIO;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;156;1430
NOEMIA MARIA SANTANA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;141;2219
NUBIA TERESINHA ELIAS CAETANO;PSC;PSC;Suplente;70;2000
OCTAVIANO AUGUSTO DE CAMPOS BUENO;PTB;PTB;Suplente;3189;5922,6499999999
ODAIR RODRIGUES FERNANDES;PR;PR;Suplente;9215;146250,8
ODECIO BRAGA DE LOUREDO FILHO;DEM;PSDB / DEM / PPS;Suplente;960;10709,46
ODETTE CARVALHO;SD;SD;Suplente;58;13871,31
ODMIR ALVES PEREIRA;PSB;PSB;Não eleito;0;6284,6
OLAIR PRADO DE OLIVEIRA;PHS;PHS / PRP;Não eleito;7625;38774,9
ONILDO JOSÉ DE OLIVEIRA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;740;0
ONOFRE SANTOS NETO;PHS;PHS / PRP;Não eleito;3260;0
ORESTES LUIS TAMBOLIN;PSDB;PSDB / DEM / PPS;Suplente;5279;16189,5
ORLANDO SILVA DE JESUS JUNIOR;PC do B;PT / PC do B;Eleito por QP;90641;4829300,87
OSMAR ANTONIO DE ALMEIDA;PRP;PHS / PRP;Não eleito;281;0
OSMAR DE AZEVEDO;PR;PR;Suplente;1856;9694,5
OSVALDO DE OLIVEIRA;PSDC;PSDC;Não eleito;207;1729,01
OSVALDO FRANCESCHI JUNIOR;PV;PV;Suplente;8500;110079,16
OSVALDO PEREIRA DE OLIVEIRA;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;457;7855
OSVALDO RIBEIRO FILHO;PV;PV;Suplente;1329;5699,3
OSVALDO SANTOS DA SILVA;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;285;1571,15
OSWALDO ANTONIO CAVALLARI SOBRINHO;PSB;PSB;Suplente;1437;8496,09
PAOLA ELIDE CHIARELLO;PV;PV;Não eleito;0;111,11
PATRICIA PINTO LACERDA;PSOL;PSOL / PSTU;Suplente;79;475
PAULA ALVES DO ROSÁRIO ARANHA;PSOL;PSOL / PSTU;Suplente;244;0
PAULA BALLARDINI SOUZA CAMPOS;PV;PV;Suplente;5131;81896,029999999
PAULA FERNANDA SAMPAIO;PRB;PRB;Suplente;323;3543,8599999999
PAULO ALEXANDRE LOPES;SD;SD;Suplente;6577;423872,5
PAULO CESAR DE OLIVEIRA LIMA;PMDB;PMDB / PROS / PP / PSD;Suplente;34298;553154,77999999
PAULO CESAR NEME;PSC;PSC;Suplente;10179;42209,909999999
PAULO DONIZETI SCALFI;PRB;PRB;Suplente;768;12395,62
PAULO EDUARDO DE BARROS;PHS;PHS / PRP;Não eleito;4097;33104
PAULO FERNANDO BARUFI DA SILVA;PTB;PTB;Suplente;11604;120859,92
PAULO GOMES JUNIOR;PTB;PTB;Não eleito;0;9376
PAULO HENRIQUE DE ALMEIDA PORTELA;PHS;PHS / PRP;Não eleito;987;0
PAULO HENRIQUE DO NASCIMENTO;PHS;PHS / PRP;Não eleito;24812;42992,56
PAULO HENRIQUE FERRAZ BASTOS;PSB;PSB;Não eleito;0;6204,4599999999
PAULO HUMBERTO LACERDA;SD;SD;Suplente;22339;501243,61
PAULO JACOB ROSAN;PMDB;PMDB / PROS / PP / PSD;Suplente;229;0
PAULO JESUS FRANGE;PTB;PTB;Suplente;28105;464448
PAULO JOSÉ MORLINE;PSB;PSB;Suplente;726;7304,46
PAULO KENJI SASAKI;PTB;PTB;Suplente;10442;31475,549999999
PAULO PEREIRA DA SILVA;SD;SD;Eleito por QP;227186;2859448,4999999
PAULO ROBERTO BAILLO;PSOL;PSOL / PSTU;Suplente;331;0
PAULO ROBERTO FREIRE DA COSTA;PR;PR;Eleito por QP;111300;2527829
PAULO ROBERTO GOMES MANSUR;PRB;PRB;Eleito por QP;31301;1889061,8799999
PAULO ROBERTO SOUTO DOS SANTOS;PHS;PHS / PRP;Não eleito;326;0
PAULO ROGERIO DE SOUZA FALCIROLLI;PSDC;PSDC;Não eleito;621;2823
PAULO SALIM MALUF;PP;PMDB / PROS / PP / PSD;Eleito por QP;250296;1175818
PAULO SÉRGIO BONGATER BASSOLI;PRB;PRB;Suplente;766;1850
PAULO SERGIO OLIVEIRA;PV;PV;Suplente;4902;30383
PAULO TASSO DINIZ;PTB;PTB;Suplente;1197;1200
PEDRO ANTONIO FRANCO;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;103;1102,4
PEDRO CAMPOS DE QUEIROS;PMDB;PMDB / PROS / PP / PSD;Suplente;535;0
PEDRO GOMES DE ALMEIDA;PSDC;PSDC;Não eleito;2991;75455,5
PEDRO JOSÉ DE OLIVEIRA;PT;PT / PC do B;Suplente;2083;23014
PEDRO LUIZ VIVIANI;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;696;2390
PEDRO PAULO VIEIRA DE CARVALHO;PSOL;PSOL / PSTU;Suplente;574;3475
PEDRO SERAFIM JUNIOR;PDT;PDT;Suplente;42739;1633484,63
PEDRO TOMISHIGUE MORI;PSB;PSB;Não eleito;0;208823,41999999
PEDRO VICENTE TUZINO LEITE;PTB;PTB;Suplente;2788;11387,65
PÉRICLES FORMIGONI;PTB;PTB;Suplente;541;5047,3999999999
PLINIO ANTONIO BRITTO GENTIL;PSOL;PSOL / PSTU;Suplente;7406;75278,839999999
PLINIO FERNANDES MARTINS;PMDB;PMDB / PROS / PP / PSD;Suplente;1082;22136,88
POLLYANA FATIMA GAMA SANTOS;PPS;PSDB / DEM / PPS;Suplente;35854;92686,809999999
PRISCILA MARTINS  DOS SANTOS;PROS;PMDB / PROS / PP / PSD;Suplente;82;0
PROTÓGENES PINHEIRO DE QUEIROZ;PC do B;PT / PC do B;Suplente;27978;690735,89999999
RACHEL MORENO;PT;PT / PC do B;Não eleito;0;68773,5
RAFAEL CORREIA LISBOA;PSB;PSB;Suplente;198;23724,98
RAFAEL FELIPE DEMARCHI;PSD;PMDB / PROS / PP / PSD;Suplente;31583;1016338,8899999
RAFAEL GOFFI MOREIRA;PSDB;PSDB / DEM / PPS;Suplente;20568;205656,15999999
RAFAEL MARMO;PSOL;PSOL / PSTU;Suplente;1996;2890,4
RAIMUNDO LEITE LEMOS;PSOL;PSOL / PSTU;Suplente;371;984,1
RAIMUNDO NONATO ALVES BATISTA;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;1271;5850
RAIMUNDO NONATO DOS SANTOS SOUZA;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;693;845
RAUL BUENO ROSA JUNIOR;PRP;PHS / PRP;Não eleito;1552;4530
RAUL GIL JUNIOR;PR;PR;Suplente;5306;256589
REGINA FERREIRA DOS SANTOS SILVA;PSC;PSC;Suplente;30;1294,5699999999
REGINA HELENA DOS SANTOS FUKUSIG;PV;PV;Suplente;177;2000
REGINALDO BUENO ANDRADE;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;605;1100
REINALDO DOS SANTOS;PSD;PMDB / PROS / PP / PSD;Suplente;1984;11008,27
REINALDO LUIS ARCANDES ALVES FERREIRA;DEM;PSDB / DEM / PPS;Suplente;653;0
REINALDO SANTOS RAMOS;PT;PT / PC do B;Suplente;693;0
RELZA MARIA DO NASCIMENTO OLIVEIRA;PMDB;PMDB / PROS / PP / PSD;Suplente;183;10394,5
RENAN DIAS OLIVEIRA;PSOL;PSOL / PSTU;Suplente;1437;7888,67
RENAN MARINO;PRP;PHS / PRP;Não eleito;2598;7753,0999999999
RENAN THIAGO CALDATO BENTO GARCIA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;2321;7780
RENATA HELLMEISTER DE ABREU;PTN;PSL / PTN / PMN / PTC / PT do B;Eleito por QP;86647;1680070,1199999
RENATO ARIEDI LIMA;PMDB;PMDB / PROS / PP / PSD;Suplente;5401;605077,72999999
RENATO CAMARGO NAPOLI;PEN;PEN;Não eleito;1677;23716,689999999
RENATO DE MATTEO REGINATTO;PSB;PSB;Suplente;40866;757529,13
RENÊ APPARECIDO FRANCO SOARES FILHO;PTB;PTB;Suplente;1183;65700,5
RICARDO ALVAREZ;PSOL;PSOL / PSTU;Suplente;6560;35985,4
RICARDO AMARAL;PRP;PHS / PRP;Não eleito;292;497,3
RICARDO ANTONIO BUAINAIN DIAS;PRB;PRB;Suplente;21205;174872,03999999
RICARDO AUGUSTO MACHADO DA SILVA;PDT;PDT;Suplente;98870;211389,89999999
RICARDO ELIAS IRALLA;PSOL;PSOL / PSTU;Suplente;978;50
RICARDO FASSIO CAVALCANTE CUNHA;PRB;PRB;Suplente;771;6640,5
RICARDO FERREIRA DOS SANTOS;PSB;PSB;Não eleito;0;1047,5
RICARDO IZAR JUNIOR;PSD;PMDB / PROS / PP / PSD;Eleito por QP;113547;2198453,67
RICARDO JOSE RUSSOMANNO AZEVEDO SOBRINHO;PMDB;PMDB / PROS / PP / PSD;Suplente;824;16007,74
RICARDO SIMÕES;PSOL;PSOL / PSTU;Suplente;243;2868,4
RICARDO YOSHIO;PRB;PRB;Suplente;14984;67823,86
RINALDO ALVES PEREIRA;PMDB;PMDB / PROS / PP / PSD;Suplente;1003;0
RIVAEL BENEDITO DE SOUZA;PSB;PSB;Suplente;22584;66067,709999999
ROBERTO ALVES DE LUCENA;PV;PV;Eleito por QP;67191;316915,53
ROBERTO ALVES RAUTENBERG;PTB;PTB;Suplente;42017;71772,789999999
ROBERTO ANTONIO ALVES;PRP;PHS / PRP;Não eleito;282;1767,5
ROBERTO CAVEANHA;PEN;PEN;Não eleito;1862;31000
ROBERTO GUASTELLI TESTASECCA;PSDB;PSDB / DEM / PPS;Suplente;8357;16208,45
ROBERTO JOAO PEREIRA FREIRE;PPS;PSDB / DEM / PPS;Suplente;62823;1957914,4599999
ROBERTO LUIZ DO NASCIMENTO;PDT;PDT;Suplente;119;0
ROBERTO MARCIAL LEME;PSC;PSC;Suplente;1356;147761,78
ROBERTO MIGUEL REY JUNIOR;PSC;PSC;Suplente;21371;50180,379999999
ROBERTO MOHAMED AMIN JUNIOR;PSB;PSB;Suplente;2523;0
ROBERTO NICOLAU FREIRE;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;560;3476
ROBERTO OLIVEIRA CARDOZO;SD;SD;Suplente;750;10283,15
ROBERTO RAMALHO TAVARES;PRB;PRB;Suplente;14651;83180,399999999
ROBERTO SEBASTIÃO PETERNELLI JUNIOR;PSC;PSC;Suplente;10953;119256,32999999
ROBERTO SHIZUO KUMASAKA;PV;PV;Suplente;958;1379,9
ROBERTO VICENTE;PRB;PRB;Suplente;761;38740,85
ROBERVAL CONTE LOPES LIMA;PTB;PTB;Suplente;73949;208694,01
ROBERVAL SAKAI BASTOS PINTO;PP;PMDB / PROS / PP / PSD;Suplente;25226;184315,75999999
ROBINSON GOMES DOS SANTOS;PSOL;PSOL / PSTU;Suplente;276;237,5
ROBSON GUIMARÃES DE PAULA;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;785;0
ROBSON OLIVEIRA BARBOSA;PEN;PEN;Não eleito;1233;0
ROBSON PEREIRA DE MOURA;PSC;PSC;Suplente;1483;16986,06
RODRIGO DA SILVA;PHS;PHS / PRP;Não eleito;0;5615
RODRIGO FERREIRA METTESTAINER;PV;PV;Suplente;999;0
RODRIGO GARCIA;DEM;PSDB / DEM / PPS;Eleito por QP;336151;2833320,4199999
RODRIGO HENRIQUE FERREIRA;PRP;PHS / PRP;Não eleito;203;0
RODRIGO OLIVEIRA;PP;PMDB / PROS / PP / PSD;Suplente;8316;96431,07
RODRIGO RODRIGUES PEDROSO;PSC;PSC;Suplente;2104;29401,839999999
RODRIGO VEIGA SIMÕES DE SOUZA;PP;PMDB / PROS / PP / PSD;Suplente;5626;38369,999999999
RODRIGO VIEIRA MARTINS;PSOL;PSOL / PSTU;Suplente;1067;0
ROGERIO BARRETO ALVES;PPS;PSDB / DEM / PPS;Suplente;17487;277004,45999999
ROGÉRIO CARVALHO;PSOL;PSOL / PSTU;Suplente;6556;11125
ROGERIO DE JESUS PAES;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;1788;6657
