"NUMERO_CANDIDATO","QTDE_VOTOS"
"2877","23157"
"2878","8403"
"2880","4091"
"2882","3167"
"2883","422"
"2885","808"
"2888","88772"
"2889","2794"
"2890","6094"
"2893","391"
"2894","295"
"2897","259"
"2899","4378"
"29","4702"
"2909","568"
"2919","171"
"2929","6350"
"2939","216"
"2999","962"
"31","42859"
"3100","88652"
"3101","6963"
"3102","1622"
"3103","4528"
"3104","6028"
"3105","5034"
"3106","762"
"3107","439"
"3108","262"
"3109","3905"
"3110","4696"
"3111","51590"
"3112","13718"
"3113","16379"
"3114","1714"
"3116","192"
"3117","371"
"3118","3141"
"3119","1035"
"3120","243"
"3121","5586"
"3122","9195"
"3123","39385"
"3124","16404"
"3125","3109"
"3126","465"
"3128","850"
"3129","378"
"3130","3393"
"3131","301281"
"3132","10782"
"3133","117465"
"3134","519"
"3135","500"
"3136","1642"
"3137","9217"
"3138","133"
"3139","6749"
"3140","42082"
"3141","1250"
"3143","4097"
"3144","31258"
"3145","1520"
"3146","136"
"3147","6464"
"3148","222"
"3149","653"
"3150","2931"
"3151","987"
"3153","4956"
"3154","296"
"3155","8827"
"3156","2705"
"3159","181"
"3160","3712"
"3161","378"
"3162","444"
"3163","48"
"3165","700"
"3166","395"
"3167","987"
"3169","1579"
"3170","2053"
"3171","8976"
"3172","2757"
"3173","872"
"3174","326"
"3175","692"
"3176","449"
"3177","5914"
"3178","496"
"3179","220"
"3180","520"
"3181","236"
"3182","110"
"3183","251"
"3186","769"
"3187","553"
"3188","5010"
"3189","2756"
"3190","10470"
"3191","1395"
"3192","896"
"3193","9373"
"3197","456"
"3198","508"
"3199","2804"
"33","34970"
"3300","17808"
"3301","172"
"3302","167"
"3303","331"
"3305","19"
"3307","447"
"3310","3497"
"3311","4157"
"3312","6619"
"3313","6064"
"3314","4357"
"3315","220"
"3316","791"
"3319","67"
"3320","29481"
"3321","100"
"3322","5594"
"3323","7472"
"3325","111"
"3330","141"
"3331","32479"
"3332","503"
"3333","183493"
"3334","3826"
"3335","14241"
"3337","2321"
"3339","819"
"3340","2403"
"3343","697"
"3344","52881"
"3345","14784"
"3346","1013"
"3347","45"
"3350","346"
"3351","26"
"3354","227"
"3355","1808"
"3356","1541"
"3363","10748"
"3366","1293"
"3369","240"
"3370","478"
"3372","14"
"3377","3859"
"3378","91"
"3380","927"
"3388","7688"
"3390","2864"
"3393","13"
"3394","21"
"3396","740"
"3399","4319"
"36","25569"
"3600","20575"
"3601","1352"
"3602","233"
"3603","252"
"3604","71"
"3605","86"
"3606","434"
"3607","839"
"3608","169"
"3609","353"
"3610","9333"
"3611","10215"
"3612","5047"
"3613","3048"
"3614","457"
"3615","1129"
"3616","1231"
"3617","1310"
"3618","3262"
"3619","666"
"3621","6023"
"3622","7346"
"3623","2992"
"3624","693"
"3626","4370"
"3630","423"
"3631","1824"
"3632","586"
"3633","10612"
"3634","1562"
"3635","697"
"3636","58803"
"3637","40762"
"3639","522"
"3640","2491"
"3641","658"
"3643","480"
"3644","4017"
"3645","51539"
"3646","1003"
"3650","2650"
"3651","1105"
"3652","439"
"3653","1792"
"3655","1273"
"3656","503"
"3660","2132"
"3663","3159"
"3665","7446"
"3666","1955"
"3670","905"
"3672","190"
"3677","9596"
"3678","8663"
"3680","2539"
"3682","50"
"3688","19"
"3690","10411"
"3693","924"
"3696","1346"
"3699","3892"
"40","659999"
"4000","271066"
"4001","123522"
"4002","2835"
"4003","8224"
"4004","234992"
"4005","15254"
"4006","1359"
"4007","50000"
"4008","18154"
"4009","3944"
"4010","535945"
"4011","23744"
"4012","342650"
"4013","105338"
"4014","23887"
"4015","16091"
"4016","23806"
"4017","6801"
"4018","29894"
"4019","1395"
"4020","140134"
"4021","180637"
"4022","33981"
"4023","27374"
"4024","622"
"4025","5503"
"4026","5130"
"4027","975"
"4028","3260"
"4029","9546"
"4030","154594"
"4032","2265"
"4033","14699"
"4034","6997"
"4035","4289"
"4036","113482"
"4037","2349"
"4038","867"
"4039","294"
"4040","1221363"
"4041","107290"
"4042","11723"
"4043","14609"
"4044","180528"
"4045","202785"
"4046","639"
"4047","594"
"4048","1277"
"4050","376758"
"4051","14650"
"4053","424"
"4054","759"
"4055","64110"
"4056","40054"
"4057","55847"
"4058","455"
"4059","2872"
"4060","20834"
"4061","225"
"4062","373"
"4063","17855"
"4064","2825"
"4065","5375"
"4066","9832"
"4067","3159"
"4068","675"
"4069","2166"
"4070","182842"
"4071","196"
"4073","126"
"4074","726"
"4076","161"
"4077","112025"
"4078","8658"
"4079","6416"
"4080","296892"
"4081","402"
"4084","2728"
"4085","1106"
"4087","1507"
"4088","8357"
"4089","849"
"4090","10661"
"4091","409"
"4092","1976"
"4094","5912"
"4095","298"
"4096","102963"
"4097","4222"
"4098","88"
"4099","21641"
"43","196868"
"4300","142494"
"4301","24955"
"4302","4631"
"4303","33161"
"4304","1714"
"4305","705"
"4306","14008"
"4307","1299"
"4308","38378"
"4309","235"
"4310","35336"
"4311","153290"
"4312","12110"
"4313","25606"
"4314","2596"
"4315","11803"
"4316","5130"
"4317","1515"
"4318","1304"
"4319","2618"
"4320","2980"
"4321","212985"
"4322","31203"
"4323","29261"
"4324","1329"
"4325","3785"
"4326","23499"
"4327","177"
"4328","5234"
"4329","251"
"4330","61080"
"4331","1090"
"4332","17394"
"4333","61908"
"4334","3684"
"4335","532"
"4336","109591"
"4337","807"
"4338","106"
"4339","538"
"4340","17336"
"4341","3435"
"4342","4387"
"4343","207727"
"4344","102612"
"4345","18296"
"4346","1064"
"4347","235"
"4348","1617"
"4349","10643"
"4350","886"
"4351","817"
"4352","2614"
"4353","29145"
"4354","179"
"4355","31755"
"4356","90004"
"4357","300"
"4358","212"
"4359","958"
"4360","8619"
"4362","2232"
"4363","6477"
"4365","6283"
"4366","4262"
"4367","1463"
"4368","229"
"4369","3312"
"4370","17567"
"4371","803"
"4372","259"
"4373","1390"
"4375","982"
"4376","96"
"4377","54280"
"4378","36401"
"4379","811"
"4380","2640"
"4381","195"
"4382","46"
"4383","606"
"4384","628"
"4385","535"
"4386","48"
"4387","602"
"4388","49910"
"4389","370"
"4390","1076"
"4391","4902"
"4392","294"
"4393","945"
"4394","1307"
"4395","2940"
"4396","6574"
"4398","275"
"4399","16052"
"44","70697"
"4400","43949"
"4401","543"
"4402","88"
"4403","5493"
"4404","7598"
"4405","1141"
"4406","557"
"4407","1616"
"4408","360"
"4409","129"
"4410","91934"
"4411","15482"
"4412","6230"
"4413","4918"
"4414","2635"
"4415","27895"
"4416","773"
"4417","219"
"4419","188"
"4420","3589"
"4421","1065"
"4422","18280"
"4423","1000"
"4424","397"
"4425","1872"
"4427","233"
"4428","394"
"4429","203"
"4431","288"
"4432","290"
"4433","74890"
"4434","1049"
"4436","147"
"4437","224"
"4440","3058"
"4441","1185"
"4442","639"
"4443","336"
"4444","222476"
"4445","5439"
"4446","734"
"4447","1270"
"4448","284"
"4450","2044"
"4451","1716"
"4452","1711"
"4454","3057"
"4455","20285"
"4456","15683"
"4457","229"
"4458","323"
"4461","14"
"4462","230"
"4464","405"
"4465","2657"
"4466","1323"
"4467","1216"
"4468","319"
"4469","15505"
"4470","1961"
"4474","505"
"4476","168"
"4477","29241"
"4478","2905"
"4480","579"
"4484","485"
"4488","5388"
"4490","3048"
"4491","241"
"4492","3"
"4493","211"
"4494","2598"
"4495","292"
"4496","1270"
"4499","1631"
"45","1927681"
"4500","1037064"
"4501","4481"
"4502","2669"
"4503","795"
"4504","2107"
"4505","13101"
"4506","187"
"4507","925"
"4508","2936"
"4509","15920"
"4510","429504"
"4511","243739"
"4512","124831"
"4513","73223"
"4514","4148"
"4515","311037"
"4516","19954"
"4517","155971"
"4518","83"
"4519","2696"
"4520","121218"
"4521","1023"
"4522","143681"
"4523","14019"
